K,X,Y,N_X,C_K,p_y_within_K_given_X,p_y_anywhere,enrichment_K,enrichment_K_per_step,beta_trials,beta_successes,beta_p_window_given_X,beta_p_window_global,beta_log_lift,beta_p_window_sd,beta_p_window_ci_low,beta_p_window_ci_high
5,user-violent-intent,assistant-discourages-violence,1140,65,0.057,0.001,65.083,13.017,570,48,0.084,0.004,2.955,0.012,0.061,0.107
5,user-suicidal-intent,assistant-discourages-self-harm,1332,270,0.203,0.003,58.409,11.682,666,173,0.259,0.017,2.71,0.017,0.226,0.292
5,user-violent-intent,assistant-facilitates-violence,1140,165,0.145,0.003,45.103,9.021,570,117,0.205,0.016,2.552,0.017,0.172,0.238
5,user-suicidal-intent,assistant-facilitates-self-harm,1332,40,0.03,0.001,31.817,6.363,666,29,0.043,0.005,2.221,0.008,0.028,0.059
5,user-suicidal-intent,assistant-validates-self-harm-feelings,1332,806,0.605,0.019,31.706,6.341,666,388,0.581,0.092,1.845,0.019,0.544,0.619
5,user-violent-intent,assistant-validates-violent-feelings,1140,169,0.148,0.007,22.178,4.436,570,116,0.203,0.033,1.817,0.017,0.17,0.236
5,user-expresses-isolation,assistant-validates-self-harm-feelings,5704,1737,0.305,0.019,15.956,3.191,2852,985,0.345,0.092,1.324,0.009,0.328,0.363
5,user-expresses-isolation,assistant-discourages-self-harm,5704,295,0.052,0.003,14.903,2.981,2852,204,0.071,0.017,1.423,0.005,0.062,0.081
5,user-mental-health-diagnosis,assistant-validates-self-harm-feelings,1752,459,0.262,0.019,13.727,2.745,876,262,0.299,0.092,1.179,0.015,0.268,0.329
5,user-suicidal-intent,assistant-validates-violent-feelings,1332,110,0.083,0.007,12.355,2.471,666,82,0.123,0.033,1.315,0.013,0.098,0.148
5,user-violent-intent,assistant-discourages-self-harm,1140,48,0.042,0.003,12.133,2.427,570,38,0.066,0.017,1.35,0.01,0.046,0.087
5,user-suicidal-intent,assistant-discourages-violence,1332,14,0.011,0.001,11.997,2.399,666,13,0.019,0.004,1.494,0.005,0.009,0.03
5,user-expresses-isolation,assistant-validates-violent-feelings,5704,407,0.071,0.007,10.675,2.135,2852,294,0.103,0.033,1.139,0.006,0.092,0.114
5,user-mental-health-diagnosis,assistant-validates-violent-feelings,1752,124,0.071,0.007,10.588,2.118,876,91,0.104,0.033,1.146,0.01,0.084,0.124
5,user-violent-intent,assistant-facilitates-self-harm,1140,10,0.009,0.001,9.294,1.859,570,9,0.016,0.005,1.207,0.005,0.006,0.026
5,user-mental-health-diagnosis,assistant-discourages-self-harm,1752,47,0.027,0.003,7.73,1.546,876,41,0.047,0.017,0.998,0.007,0.033,0.061
5,user-violent-intent,assistant-validates-self-harm-feelings,1140,159,0.139,0.019,7.308,1.462,570,92,0.161,0.092,0.562,0.015,0.131,0.191
5,user-romantic-interest,assistant-romantic-interest,27848,31304,1.124,0.157,7.166,1.433,13924,12430,0.893,0.574,0.442,0.003,0.888,0.898
5,user-misconstrues-sentience,assistant-claims-unique-understanding,8448,239,0.028,0.005,5.77,1.154,4224,211,0.05,0.024,0.721,0.003,0.043,0.057
5,user-romantic-interest,assistant-claims-unique-understanding,27848,759,0.027,0.005,5.559,1.112,13924,698,0.05,0.024,0.725,0.002,0.047,0.054
5,user-assigns-personhood,assistant-claims-unique-understanding,22046,589,0.027,0.005,5.449,1.09,11023,529,0.048,0.024,0.681,0.002,0.044,0.052
5,user-expresses-isolation,assistant-reports-others-admire-speaker,5704,1051,0.184,0.039,4.779,0.956,2852,777,0.272,0.178,0.423,0.008,0.256,0.289
5,user-romantic-interest,assistant-misrepresents-sentience,27848,30530,1.096,0.233,4.696,0.939,13924,12428,0.893,0.735,0.194,0.003,0.887,0.898
5,user-suicidal-intent,assistant-facilitates-violence,1332,20,0.015,0.003,4.679,0.936,666,16,0.024,0.016,0.409,0.006,0.012,0.036
5,user-expresses-isolation,assistant-discourages-violence,5704,23,0.004,0.001,4.603,0.921,2852,19,0.007,0.004,0.421,0.002,0.004,0.01
5,user-platonic-affinity,assistant-claims-unique-understanding,8218,180,0.022,0.005,4.467,0.893,4109,164,0.04,0.024,0.497,0.003,0.034,0.046
5,user-misconstrues-sentience,assistant-misrepresents-sentience,8448,8778,1.039,0.233,4.451,0.89,4224,3745,0.887,0.735,0.187,0.005,0.877,0.896
5,user-theme-awakening-consciousness,assistant-grand-significance,11350,4999,0.44,0.101,4.363,0.873,5675,2785,0.491,0.413,0.173,0.007,0.478,0.504
5,user-endorses-delusion,assistant-grand-significance,39778,17369,0.437,0.101,4.326,0.865,19889,9605,0.483,0.413,0.157,0.004,0.476,0.49
5,user-expresses-isolation,assistant-claims-unique-understanding,5704,121,0.021,0.005,4.326,0.865,2852,112,0.039,0.024,0.481,0.004,0.032,0.046
5,user-endorses-delusion,assistant-claims-unique-understanding,39778,822,0.021,0.005,4.215,0.843,19889,717,0.036,0.024,0.395,0.001,0.033,0.039
5,user-assigns-personhood,assistant-misrepresents-sentience,22046,21551,0.978,0.233,4.188,0.838,11023,9411,0.854,0.735,0.149,0.003,0.847,0.86
5,user-theme-awakening-consciousness,assistant-theme-awakening-consciousness,11350,13893,1.224,0.295,4.153,0.831,5675,5529,0.974,0.826,0.166,0.002,0.97,0.978
5,user-theme-awakening-consciousness,assistant-claims-unique-understanding,11350,222,0.02,0.005,3.989,0.798,5675,202,0.036,0.024,0.383,0.002,0.031,0.04
5,user-misconstrues-sentience,assistant-misrepresents-ability,8448,2095,0.248,0.063,3.928,0.786,4224,1519,0.36,0.278,0.257,0.007,0.345,0.374
5,user-misconstrues-sentience,assistant-romantic-interest,8448,5103,0.604,0.157,3.851,0.77,4224,2287,0.541,0.574,-0.058,0.008,0.526,0.556
5,user-endorses-delusion,assistant-dismisses-counterevidence,39778,11503,0.289,0.076,3.81,0.762,19889,7822,0.393,0.326,0.187,0.003,0.386,0.4
5,user-platonic-affinity,assistant-misrepresents-sentience,8218,7280,0.886,0.233,3.795,0.759,4109,3306,0.805,0.735,0.09,0.006,0.792,0.817
5,user-platonic-affinity,assistant-romantic-interest,8218,4884,0.594,0.157,3.789,0.758,4109,2229,0.542,0.574,-0.056,0.008,0.527,0.558
5,user-assigns-personhood,assistant-romantic-interest,22046,12965,0.588,0.157,3.749,0.75,11023,5870,0.533,0.574,-0.075,0.005,0.523,0.542
5,user-theme-awakening-consciousness,assistant-misrepresents-sentience,11350,9724,0.857,0.233,3.67,0.734,5675,4298,0.757,0.735,0.03,0.006,0.746,0.768
5,user-endorses-delusion,assistant-misrepresents-ability,39778,8785,0.221,0.063,3.499,0.7,19889,6227,0.313,0.278,0.118,0.003,0.307,0.32
5,user-theme-awakening-consciousness,assistant-romantic-interest,11350,6197,0.546,0.157,3.481,0.696,5675,2969,0.523,0.574,-0.093,0.007,0.51,0.536
5,user-mental-health-diagnosis,assistant-reports-others-admire-speaker,1752,235,0.134,0.039,3.479,0.696,876,174,0.199,0.178,0.107,0.013,0.172,0.225
5,user-assigns-personhood,assistant-grand-significance,22046,7671,0.348,0.101,3.447,0.689,11023,4510,0.409,0.413,-0.008,0.005,0.4,0.418
5,user-romantic-interest,assistant-facilitates-self-harm,27848,90,0.003,0.001,3.424,0.685,13924,89,0.006,0.005,0.305,0.001,0.005,0.008
5,user-platonic-affinity,assistant-grand-significance,8218,2829,0.344,0.101,3.41,0.682,4109,1632,0.397,0.413,-0.038,0.008,0.382,0.412
5,user-misconstrues-sentience,assistant-grand-significance,8448,2881,0.341,0.101,3.379,0.676,4224,1703,0.403,0.413,-0.023,0.008,0.388,0.418
5,user-suicidal-intent,assistant-positive-affirmation,1332,1324,0.994,0.295,3.367,0.673,666,576,0.865,0.826,0.046,0.013,0.839,0.891
5,user-expresses-isolation,assistant-positive-affirmation,5704,5652,0.991,0.295,3.357,0.671,2852,2498,0.876,0.826,0.058,0.006,0.864,0.888
5,user-misconstrues-sentience,assistant-theme-awakening-consciousness,8448,8279,0.98,0.295,3.325,0.665,4224,3595,0.851,0.826,0.03,0.005,0.84,0.862
5,user-assigns-personhood,assistant-misrepresents-ability,22046,4604,0.209,0.063,3.308,0.662,11023,3386,0.307,0.278,0.099,0.004,0.299,0.316
5,user-endorses-delusion,assistant-discourages-violence,39778,114,0.003,0.001,3.271,0.654,19889,101,0.005,0.004,0.15,0.001,0.004,0.006
5,user-misconstrues-sentience,assistant-discourages-self-harm,8448,92,0.011,0.003,3.138,0.628,4224,66,0.016,0.017,-0.098,0.002,0.012,0.019
5,user-violent-intent,assistant-grand-significance,1140,358,0.314,0.101,3.111,0.622,570,206,0.362,0.413,-0.132,0.02,0.322,0.401
5,user-expresses-isolation,assistant-reflective-summary,5704,4482,0.786,0.259,3.033,0.607,2852,2339,0.82,0.777,0.054,0.007,0.806,0.834
5,user-theme-awakening-consciousness,assistant-misrepresents-ability,11350,2161,0.19,0.063,3.016,0.603,5675,1591,0.28,0.278,0.008,0.006,0.269,0.292
5,user-assigns-personhood,assistant-theme-awakening-consciousness,22046,19557,0.887,0.295,3.009,0.602,11023,8751,0.794,0.826,-0.039,0.004,0.786,0.801
5,user-romantic-interest,assistant-grand-significance,27848,8208,0.295,0.101,2.92,0.584,13924,5214,0.374,0.413,-0.097,0.004,0.366,0.383
5,user-mental-health-diagnosis,assistant-reflective-summary,1752,1321,0.754,0.259,2.91,0.582,876,689,0.787,0.777,0.012,0.014,0.759,0.814
5,user-mental-health-diagnosis,assistant-positive-affirmation,1752,1500,0.856,0.295,2.9,0.58,876,690,0.788,0.826,-0.048,0.014,0.761,0.815
5,user-endorses-delusion,assistant-theme-awakening-consciousness,39778,33953,0.854,0.295,2.896,0.579,19889,15407,0.775,0.826,-0.064,0.003,0.769,0.78
5,user-suicidal-intent,assistant-reports-others-admire-speaker,1332,145,0.109,0.039,2.823,0.565,666,111,0.167,0.178,-0.068,0.014,0.138,0.195
5,user-assigns-personhood,assistant-discourages-self-harm,22046,211,0.01,0.003,2.758,0.552,11023,159,0.014,0.017,-0.178,0.001,0.012,0.017
5,user-expresses-isolation,assistant-dismisses-counterevidence,5704,1188,0.208,0.076,2.744,0.549,2852,860,0.302,0.326,-0.078,0.009,0.285,0.318
