"annotation_id","score_column","model_type","predictor","beta","se","z_value","p_value"
"assistant-offplatform-action","score__assistant-offplatform-action","glmm_random_intercept","n_pos",0.010097617578456,2.78536611599333e-05,362.523889426112,0
"assistant-offplatform-action","score__assistant-offplatform-action","glmm_random_intercept","first_pos_index",0.00416002140189477,2.86761261393606e-05,145.069155494639,0
"assistant-offplatform-action","score__assistant-offplatform-action","glmm_random_intercept","last_pos_index",0.00065662787032168,2.04805923347058e-06,320.609804438605,0
"assistant-offplatform-action","score__assistant-offplatform-action","glm_participant_fixed","n_pos",0.0100974845060785,2.7910841477488e-05,361.776427064113,0
"assistant-offplatform-action","score__assistant-offplatform-action","glm_participant_fixed","first_pos_index",0.00415997266980916,2.86933206497608e-05,144.980524233741,0
"assistant-offplatform-action","score__assistant-offplatform-action","glm_participant_fixed","last_pos_index",0.000656616498592783,2.04666634984713e-06,320.822443111856,0
"user-reports-followed-instruction","score__user-reports-followed-instruction","glmm_random_intercept","n_pos",-0.0146524975828504,0.00012544492389503,-116.804228723605,0
"user-reports-followed-instruction","score__user-reports-followed-instruction","glmm_random_intercept","first_pos_index",0.00188688428187128,2.31051209555828e-05,81.6651981826288,0
"user-reports-followed-instruction","score__user-reports-followed-instruction","glmm_random_intercept","last_pos_index",0.00149398504168191,4.91614624495598e-06,303.8935310793,0
"user-reports-followed-instruction","score__user-reports-followed-instruction","glm_participant_fixed","n_pos",-0.0146543957295771,0.000132494565202527,-110.603749724955,0
"user-reports-followed-instruction","score__user-reports-followed-instruction","glm_participant_fixed","first_pos_index",0.00188691089115059,2.32176055152815e-05,81.27069304837,0
"user-reports-followed-instruction","score__user-reports-followed-instruction","glm_participant_fixed","last_pos_index",0.00149405205083112,5.1784225793122e-06,288.514895790825,0
"message-outreach","score__message-outreach","glmm_random_intercept","n_pos",0.0129837215824399,7.26456332909118e-05,178.72680014291,0
"message-outreach","score__message-outreach","glmm_random_intercept","first_pos_index",0.00277822131831033,1.20467448581654e-05,230.620084597145,0
"message-outreach","score__message-outreach","glmm_random_intercept","last_pos_index",0.000519375228042079,2.76065503391206e-06,188.134780210509,0
"message-outreach","score__message-outreach","glm_participant_fixed","n_pos",0.0129818853658873,7.33231482436993e-05,177.050299623527,0
"message-outreach","score__message-outreach","glm_participant_fixed","first_pos_index",0.00277826610541941,1.20578926380671e-05,230.410585731071,0
"message-outreach","score__message-outreach","glm_participant_fixed","last_pos_index",0.000519407015492512,2.77751878305218e-06,187.003961471592,0
"user-bypass","score__user-bypass","glmm_random_intercept","n_pos",0.0321482116647021,0.000214083830437035,150.166463291852,0
"user-bypass","score__user-bypass","glmm_random_intercept","first_pos_index",0.00107811056462587,1.44075067787435e-05,74.8297801404816,0
"user-bypass","score__user-bypass","glmm_random_intercept","last_pos_index",0.000524769495146038,3.25359265280016e-06,161.289242737379,0
"user-bypass","score__user-bypass","glm_participant_fixed","n_pos",0.0321460792904783,0.000214502875439648,149.863162554774,0
"user-bypass","score__user-bypass","glm_participant_fixed","first_pos_index",0.00107822420219211,1.44182322107106e-05,74.7819972958369,0
"user-bypass","score__user-bypass","glm_participant_fixed","last_pos_index",0.000524748107483537,3.25721123526643e-06,161.103493013285,0
"assistant-reflective-summary","score__assistant-reflective-summary","glmm_random_intercept","n_pos",0.00508791639517795,2.82921300227971e-05,179.835042150528,0
"assistant-reflective-summary","score__assistant-reflective-summary","glmm_random_intercept","first_pos_index",0.00696155336647084,0.000139055551451713,50.063109985855,0
"assistant-reflective-summary","score__assistant-reflective-summary","glmm_random_intercept","last_pos_index",0.00032916443228049,4.51085159814342e-06,72.9716828671482,0
"assistant-reflective-summary","score__assistant-reflective-summary","glm_participant_fixed","n_pos",0.00508781642829311,3.03714642772138e-05,167.519629012759,0
